Date,Day,GuinSus,GuinDeath,LibSus,LibDeath,NigSus,NigDeath,SLSus,SLDeath,SenSus,SenDeath,USSus,USDeath,SpainSus,SpainDeath
1/6/14,-78,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/14,-63,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2/5/14,-48,6,4,0,0,0,0,0,0,0,0,0,0,0,0
2/20/14,-33,13,8,0,0,0,0,0,0,0,0,0,0,0,0
3/7/14,-18,25,15,0,0,0,0,0,0,0,0,0,0,0,0
3/22/14,-3,49,29,0,0,0,0,0,0,0,0,0,0,0,0
3/25/14,0,86,59,0,0,0,0,0,0,0,0,0,0,0,0
3/26/14,1,86,60,0,0,0,0,0,0,0,0,0,0,0,0
3/27/14,2,103,66,0,0,0,0,0,0,0,0,0,0,0,0
3/31/14,6,112,70,0,0,0,0,0,0,0,0,0,0,0,0
4/1/14,7,122,80,0,0,0,0,0,0,0,0,0,0,0,0
4/2/14,8,127,83,0,0,0,0,0,0,0,0,0,0,0,0
4/7/14,13,151,95,0,0,0,0,0,0,0,0,0,0,0,0
4/10/14,16,157,101,0,0,0,0,0,0,0,0,0,0,0,0
4/17/14,23,197,122,0,0,0,0,0,0,0,0,0,0,0,0
4/21/14,27,203,129,0,0,0,0,0,0,0,0,0,0,0,0
4/23/14,29,208,136,0,0,0,0,1,0,0,0,0,0,0,0
4/30/14,36,221,146,0,0,0,0,1,0,0,0,0,0,0,0
5/5/14,41,231,155,0,0,0,0,1,0,0,0,0,0,0,0
5/14/14,50,233,157,0,0,0,0,5,0,0,0,0,0,0,0
5/23/14,59,258,174,0,0,0,0,18,0,0,0,0,0,0,0
5/28/14,64,281,186,0,0,0,0,20,5,0,0,0,0,0,0
6/2/14,69,291,193,0,0,0,0,50,6,0,0,0,0,0,0
6/5/14,72,344,215,1,0,0,0,81,7,0,0,0,0,0,0
6/10/14,77,372,236,1,1,0,0,89,7,0,0,0,0,0,0
6/11/14,78,376,241,15,1,0,0,117,19,0,0,0,0,0,0
6/18/14,85,398,264,33,24,0,0,97,49,0,0,0,0,0,0
6/24/14,91,390,270,51,34,0,0,158,34,0,0,0,0,0,0
7/2/14,99,413,303,107,65,0,0,239,99,0,0,0,0,0,0
7/7/14,104,412,305,115,75,0,0,252,101,0,0,0,0,0,0
7/8/14,105,408,307,131,84,0,0,305,127,0,0,0,0,0,0
7/14/14,111,409,309,142,88,0,0,337,142,0,0,0,0,0,0
7/16/14,113,406,304,172,105,1,0,386,192,0,0,0,0,0,0
7/24/14,121,415,314,224,127,1,0,454,219,0,0,0,0,0,0
7/24/14,121,410,310,196,116,1,0,442,206,0,0,0,0,0,0
7/28/14,125,427,319,249,129,1,0,525,224,0,0,0,0,0,0
7/31/14,128,460,339,329,156,1,0,533,233,0,0,0,0,0,0
8/3/14,131,472,346,391,227,2,1,574,252,0,0,0,0,0,0
8/4/14,132,485,358,468,255,4,1,646,273,0,0,0,0,0,0
8/8/14,136,495,367,554,294,13,2,717,298,0,0,0,0,0,0
8/12/14,140,506,373,599,323,13,2,730,315,0,0,0,0,0,0
8/13/14,141,510,377,670,355,12,3,783,334,0,0,0,0,0,0
8/15/14,143,519,380,786,413,12,4,810,348,0,0,0,0,0,0
8/19/14,147,543,394,834,466,15,4,848,365,0,0,0,0,0,0
8/21/14,149,579,396,972,576,15,4,907,374,0,0,0,0,0,0
8/22/14,150,607,406,1028,624,16,5,910,392,0,0,0,0,0,0
8/28/14,156,648,430,1378,694,17,6,1026,422,0,0,0,0,0,0
8/31/14,159,771,494,1698,871,21,7,1216,476,1,0,0,0,0,0
9/14/14,173,942,601,2710,1459,21,8,1673,562,1,0,0,0,0,0
9/30/14,189,1199,739,3834,2069,20,8,2437,623,1,0,1,0,0,0
10/5/14,194,1298,768,3924,2210,20,8,2789,879,1,0,1,0,0,0
10/7/14,196,1350,778,4076,2316,20,8,2937,885,1,0,1,1,1,0
10/12/14,201,1472,843,4249,2458,20,8,3252,1183,1,0,2,1,1,0
10/17/14,206,1501,886,4607,2689,20,8,3560,1227,1,0,3,1,1,0
10/19/14,208,1540,904,4693,2709,20,8,3706,1259,1,0,3,1,1,0
